Spot	Coords (Pixels)	Comment
0	2391 , 840	IR1
0	49 , 817	IR2
161	1178 , 171	
403	1941 , 238	
517	896 , 278	
532	520 , 277	
576	1030 , 280	
735	1983 , 359	
742	1949 , 364	
752	2034 , 355	
844	1767 , 365	
873	698 , 357	
878	655 , 353	
902	1199 , 357	
922	986 , 358	
926	958 , 364	
927	1009 , 361	
971	2038 , 398	
1027	1371 , 373	
1131	2074 , 445	
1150	988 , 430	
1166	1410 , 418	
1169	1013 , 433	
1182	1068 , 433	
1185	1128 , 427	
1186	1168 , 436	
1250	1278 , 437	
1258	1073 , 472	
1284	1896 , 491	
1296	1694 , 496	
1323	2053 , 505	
1338	956 , 490	
1344	865 , 489	
1424	1405 , 480	
1449	1834 , 568	
1458	1327 , 504	
1463	695 , 529	
1464	2036 , 537	
1489	1001 , 547	
1535	1729 , 568	
1539	1677 , 567	
1546	1603 , 564	
1549	1558 , 567	
1557	1418 , 521	
1568	1894 , 586	
1596	851 , 584	
1683	796 , 610	
1709	998 , 601	
1712	1168 , 585	
1753	1738 , 632	
1775	810 , 646	
1796	2005 , 662	
1850	1524 , 655	
1869	1494 , 660	
1890	1593 , 673	
2043	732 , 704	
2069	1333 , 705	
2253	1105 , 791	
2278	1257 , 786	
2294	1139 , 813	
2462	1064 , 850	
2773	1142 , 958	
2851	892 , 998	
3044	883 , 1061	
3231	1302 , 1134	
3267	1680 , 1161	
