Spot	Coords (Pixels)	Comment
0	116 , 724	IR1
0	2348 , 746	IR2
458	485 , 462	
506	962 , 427	
559	583 , 459	
699	1339 , 502	
799	2058 , 513	
957	1090 , 628	
1022	1282 , 606	
1104	1997 , 636	
1145	2070 , 634	
1177	1549 , 679	
1201	1440 , 705	
1263	1995 , 696	
1278	819 , 727	
1286	1268 , 772	
1323	955 , 779	
1381	1423 , 776	
1382	1530 , 781	
1394	1609 , 774	
1414	1914 , 769	
1416	1289 , 814	
1450	657 , 822	
1473	788 , 828	
1489	989 , 850	
1511	782 , 851	
1528	581 , 834	
1567	1271 , 879	
1605	2014 , 850	
1609	589 , 880	
1686	808 , 894	
1698	1939 , 883	
1705	929 , 926	
1768	1804 , 924	
1805	911 , 938	
1816	1025 , 944	
1840	1117 , 956	
1841	1520 , 940	
1844	1060 , 961	
1897	1145 , 981	
2038	1799 , 1044	
2055	1144 , 1036	
2063	1079 , 1055	
2089	1734 , 1056	
2093	967 , 1068	
2100	1777 , 1051	
2114	1877 , 1065	
2146	1457 , 1087	
2148	774 , 1084	
2227	480 , 1141	
2299	980 , 1186	
2313	438 , 1181	
2355	1033 , 1202	
2423	1959 , 1225	
2485	1079 , 1249	
2506	1840 , 1267	
2562	1033 , 1295	
2577	1130 , 1303	
2611	1355 , 1299	
2614	467 , 1339	
2730	1894 , 1383	
2776	1787 , 1403	
2780	1687 , 1390	
3183	2051 , 1585	
3271	1107 , 1645	
3372	1885 , 1711	
3425	1852 , 1737	
3448	1703 , 1752	
3470	1412 , 1740	
3475	1292 , 1741	
3516	1266 , 1779	
3523	1100 , 1769	
3533	1081 , 1784	
3666	1583 , 1841	
