Spot	Coords (Pixels)	Comment
0	87 , 869	IR1
0	2315 , 877	IR2
39	1434 , 55	
64	658 , 38	
92	1154 , 70	
121	465 , 47	
128	486 , 49	
129	551 , 46	
225	1519 , 108	
296	853 , 126	
371	1367 , 143	
387	1862 , 160	
400	2039 , 160	
403	1950 , 159	
468	1814 , 180	
475	1346 , 159	
517	929 , 182	
697	1522 , 231	
709	1916 , 236	
729	1985 , 268	
740	2028 , 262	
742	1956 , 256	
752	2061 , 267	
762	654 , 243	
840	1825 , 274	
844	1789 , 295	
851	771 , 257	
865	833 , 270	
878	670 , 261	
891	579 , 258	
922	1020 , 312	
926	985 , 324	
930	1063 , 316	
938	1109 , 308	
971	2068 , 321	
988	671 , 294	
1001	1183 , 313	
1027	1310 , 339	
1136	1938 , 354	
1138	2054 , 352	
1150	981 , 367	
1185	1108 , 394	
1186	1192 , 371	
1189	1499 , 388	
1192	785 , 375	
1230	1627 , 400	
1250	1253 , 396	
1252	1937 , 401	
1254	482 , 402	
1258	1063 , 411	
1263	651 , 427	
1264	557 , 399	
1296	1692 , 408	
1297	2032 , 414	
1324	376 , 402	
1338	962 , 436	
1350	864 , 433	
1371	1793 , 438	
1395	1524 , 449	
1415	1430 , 449	
1426	667 , 455	
1488	747 , 481	
1521	1822 , 475	
1535	1740 , 472	
1539	1692 , 473	
1550	1537 , 473	
1551	1485 , 479	
1625	987 , 515	
1646	926 , 520	
1658	881 , 523	
1678	846 , 525	
1679	2070 , 523	
1691	746 , 518	
1781	1214 , 533	
1811	979 , 569	
1832	838 , 569	
1837	737 , 569	
1842	650 , 561	
1846	2006 , 598	
1869	1508 , 584	
1933	1335 , 636	
1949	1423 , 601	
2048	1614 , 628	
2075	1587 , 645	
2131	1224 , 663	
2209	854 , 716	
2211	743 , 718	
2231	392 , 738	
2253	1106 , 725	
2282	1018 , 744	
2316	1384 , 750	
2462	1059 , 791	
2769	1707 , 888	
2832	841 , 973	
2856	1362 , 927	
2883	934 , 966	
2911	1500 , 910	
2975	1466 , 956	
3031	1152 , 1064	
3038	864 , 1045	
3056	1302 , 1026	
3223	537 , 1107	
3249	920 , 1090	
3285	608 , 1169	
